path,finding_domains,layer,context,classification_confidence,overall_change_likelihood,pii_matches,pqc_findings,dependency_reference_count,dependency_packages,dependency_categories,likely_change_target,recommended_change_action,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,notes
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\ClaimProtectionPayload.cs,pii,backend,backend,0.7,low,4,0,0,,,False,,low,10.2,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\ClaimProtectionRequest.cs,pii,backend,backend,0.7,low,4,0,0,,,False,,low,10.2,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\ClaimReviewRecord.cs,pii,backend,backend,0.7,low,4,0,0,,,False,,low,10.2,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\CustomerProfile.cs,pii,backend,backend,0.7,medium,9,0,0,,,False,,medium,22.9,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\CustomPatternLiterals.cs,pii,backend,backend,0.7,high,13,0,0,,,False,,high,32.8,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\HouseholdCompensation.cs,pii,backend,backend,0.7,high,10,0,0,,,False,,high,25.4,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\ProtectCustomerRequest.cs,pii,backend,backend,0.7,medium,7,0,0,,,False,,medium,17.8,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Models\ProtectedCustomerPayload.cs,pii,backend,backend,0.7,medium,6,0,0,,,False,,medium,15.3,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ClaimReviewService.cs,pii,backend_with_data_access,backend,0.84,high,32,0,0,,,True,review_jdbc_substitution,high,181.5,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\CustomerService.cs,pii,backend_with_data_access,backend,0.84,high,64,0,0,,,True,review_jdbc_substitution,high,357.8,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\go-service\customer_handler.go,pii,backend_with_data_access,backend,0.72,high,17,0,0,,,True,review_jdbc_substitution,high,91.2,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact. | Some PII references are outside direct JDBC/SQL indicators and may still need targeted code review.
E:\codex\work\migration\sample_code\backend\go-service\hashicorp_vault_transit_client.go,pii,backend,backend,0.7,low,2,0,0,,,False,,low,5.8,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
E:\codex\work\migration\sample_code\backend\java-kafka\src\main\java\com\example\events\CustomerEventProcessor.java,pii,data_access,backend,0.95,high,7,0,0,,,True,review_jdbc_substitution,high,30.1,,,Data-access markers found. Thales JDBC driver may cover part of the migration with lower application-code impact.
E:\codex\work\migration\sample_code\backend\jdbc-only\src\main\java\com\example\billing\BillingRecord.java,pii,backend,backend,0.7,medium,6,0,0,,,False,,medium,15.2,,,Supporting model/DTO file. Sensitive-field references here usually describe payload shape rather than the primary CRDP implementation point.
