path,finding_domains,layer,context,classification_confidence,overall_change_likelihood,pii_matches,pqc_findings,dependency_reference_count,dependency_packages,dependency_categories,likely_change_target,recommended_change_action,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,notes
E:\codex\work\migration\sample_code\backend\dotnet-api\SampleCompany.Api.csproj,pqc,data_access,infrastructure_config,0.7,high,0,12,6,Azure.Security.KeyVault.Administration | Azure.Security.KeyVault.Cryptography | Azure.Security.KeyVault.Keys | CipherTrust.CADP.NETCore | Microsoft.IdentityModel.Tokens | System.Security.Cryptography.Pkcs,CERTIFICATE_USAGE | CODE_SIGNING | JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_application_signing,,,high,67.5,PQC findings include TLS or certificate configuration that may require coordinated PKI and deployment planning. | Dependency enrichment found 6 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\AkeylessSecretLeaseService.cs,pqc,backend,backend,0.9,high,0,7,1,AkeylessSecretLeaseService,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,42.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ArtifactSigningService.cs,pqc,backend,backend,0.95,high,0,12,2,System.Security.Cryptography.Pkcs | System.Security.Cryptography.X509Certificates,CERTIFICATE_USAGE | CODE_SIGNING,True,review_pqc_dependency_and_kms,,,high,68.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\AzureManagedHsmSignatureService.cs,pqc,backend,backend,0.9,high,0,16,4,Azure.Security.KeyVault.Administration | Azure.Security.KeyVault.Cryptography | Azure.Security.KeyVault.Keys | AzureManagedHsmSignatureService,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,80.5,Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ClaimReviewService.cs,pqc,backend_with_data_access,backend,0.84,medium,0,1,3,Sample.DotNetApi.Models | System.Data.SqlClient | System.Net.Http.Json,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\CustomerService.cs,pqc,backend_with_data_access,backend,0.84,medium,0,1,3,Microsoft.Data.SqlClient | SampleCompany.Models | System.Data,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ProtegrityBatchProtectionService.cs,pqc,backend,backend,0.95,high,0,16,2,Protegrity.ApplicationProtector | ProtegrityBatchProtectionService,CODE_SIGNING | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,80.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ThalesCadpRsaEncryptionService.cs,pqc,backend,backend,0.9,high,0,16,9,CADP.NetCore.Crypto | CADP.NetCore.KeyManagement | CADP.NetCore.Sessions | System | System.IO | System.Linq | System.Security.Cryptography | System.Text | ThalesCadpRsaEncryptionService,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,90.0,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ThalesCadpSessionService.cs,pqc,backend,backend,0.9,high,0,4,2,CipherTrust.CADP.NETCore | ThalesCadpSessionService,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,24.0,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ThalesProtectGatewayService.cs,pqc,backend,backend,0.95,high,0,18,5,/protectInput | /protectInputAndCallLLM | /revealInput | Azure.Security.KeyVault.Cryptography | ThalesProtectGatewayService,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,89.5,Dependency enrichment found 5 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\VormetricPkcs11Service.cs,pqc,backend,backend,0.9,high,0,9,2,Net.Pkcs11Interop.HighLevelAPI | VormetricPkcs11Service,CODE_SIGNING | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,48.5,Dependency enrichment found 2 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\go-service\akeyless_secret_sync_client.go,pqc,backend,backend,0.7,high,0,6,2,fmt | github.com/akeylesslabs/akeyless-go,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,33.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\go-service\customer_handler.go,pqc,backend_with_data_access,backend,0.72,medium,0,1,4,bytes | database/sql | encoding/json | net/http,,True,review_pqc_dependency_and_kms,,,medium,8.5,
E:\codex\work\migration\sample_code\backend\go-service\go.mod,pqc,data_access,infrastructure_config,0.7,high,0,8,5,cloud.google.com/go/kms/apiv1 | github.com/akeylesslabs/akeyless-go | github.com/golang-jwt/jwt/v5 | github.com/hashicorp/vault/api | golang.org/x/crypto,JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC,True,review_pqc_application_signing,,,high,48.0,PQC findings include TLS or certificate configuration that may require coordinated PKI and deployment planning. | Dependency enrichment found 4 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\go-service\hashicorp_vault_transit_client.go,pqc,backend,backend,0.7,high,0,2,3,context | fmt | github.com/hashicorp/vault/api,KMS_OR_HSM_ASYMMETRIC,True,review_pqc_dependency_and_kms,,,high,15.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\go-service\ssh_admin_client.go,pqc,backend,backend,0.7,high,0,7,3,fmt | golang.org/x/crypto/ssh | os,SSH_USAGE,True,review_pqc_protocol_stack,,,high,45.0,Dependency enrichment found 1 crypto-relevant dependency or source-marker references.
E:\codex\work\migration\sample_code\backend\java-kafka\src\main\java\com\example\events\CustomerEventProcessor.java,pqc,data_access,backend,0.95,medium,0,1,7,java.sql.Connection | java.sql.PreparedStatement | javax.sql.DataSource | org.apache.kafka.clients.consumer.ConsumerRecord | org.springframework.kafka.annotation.KafkaListener | org.springframework.stereotype.Component | org.springframework.web.client.RestTemplate,,True,review_pqc_dependency_and_kms,,,medium,8.5,
