path,finding_domains,context,overall_change_likelihood,likely_change_target,recommended_change_action,pii_likely_change_target,pii_recommended_change_action,pqc_likely_change_target,pqc_recommended_change_action,dependency_reference_count,dependency_packages,dependency_categories,jdbc_candidate_count,code_change_candidate_count,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,pqc_vulnerable_algorithms
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ClaimReviewService.cs,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,2,30,high,181.5,,,
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\CustomerService.cs,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,2,62,high,357.8,,,
E:\codex\work\migration\sample_code\backend\go-service\customer_handler.go,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,1,16,high,91.2,,,
E:\codex\work\migration\sample_code\backend\java-kafka\src\main\java\com\example\events\CustomerEventProcessor.java,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,7,0,high,30.1,,,
E:\codex\work\migration\sample_code\backend\jdbc-only\src\main\java\com\example\billing\BillingRepository.java,pii,backend,medium,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,16,0,medium,22.8,,,
E:\codex\work\migration\sample_code\backend\node-service\customer-service.js,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,1,17,high,98.5,,,
E:\codex\work\migration\sample_code\backend\python-fastapi\app\main.py,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,1,22,high,125.8,,,
E:\codex\work\migration\sample_code\backend\python-fastapi\app\sensitive_data_wrapper_gemini_app.py,pii,backend,high,True,review_crdp_rest_change,True,review_crdp_rest_change,False,,0,,,0,8,high,48.0,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerDataStore.java,pii,backend,high,True,review_data_access_change,True,review_data_access_change,False,,0,,,1,37,high,207.2,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\customer\CustomerService.java,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,20,15,high,127.3,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdController.java,pii,backend,high,True,review_crdp_rest_change,True,review_crdp_rest_change,False,,0,,,0,3,high,24.9,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdProtectionService.java,pii,backend,high,True,review_crdp_rest_change,True,review_crdp_rest_change,False,,0,,,0,18,high,112.2,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\household\HouseholdRepository.java,pii,backend,high,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,20,11,high,92.8,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\ThalesCtvlTokenizationService.java,pii,backend,high,True,review_crdp_rest_change,True,review_crdp_rest_change,False,,0,,,0,6,high,44.4,,,
E:\codex\work\migration\sample_code\backend\spring-boot\src\main\java\com\example\security\VoltageSecureDataService.java,pii,backend,low,True,review_crdp_rest_change,True,review_crdp_rest_change,False,,0,,,0,1,low,11.4,,,
E:\codex\work\migration\sample_code\backend\vector-search\python\member_embeddings.py,pii,backend,high,True,review_crdp_rest_change,True,review_crdp_rest_change,False,,0,,,0,15,high,84.7,,,
E:\codex\work\migration\sample_code\README.md,pii,docs,medium,True,review_jdbc_substitution,True,review_jdbc_substitution,False,,0,,,2,2,medium,19.6,,,
