path,finding_domains,context,overall_change_likelihood,likely_change_target,recommended_change_action,pii_likely_change_target,pii_recommended_change_action,pqc_likely_change_target,pqc_recommended_change_action,dependency_reference_count,dependency_packages,dependency_categories,jdbc_candidate_count,code_change_candidate_count,complexity_rating,complexity_score,pqc_complexity_rating,pqc_complexity_score,pqc_vulnerable_algorithms
E:\codex\work\migration\sample_code\backend\dotnet-api\SampleCompany.Api.csproj,pqc,infrastructure_config,high,True,review_pqc_application_signing,False,,True,review_pqc_application_signing,6,Azure.Security.KeyVault.Administration | Azure.Security.KeyVault.Cryptography | Azure.Security.KeyVault.Keys | CipherTrust.CADP.NETCore | Microsoft.IdentityModel.Tokens | System.Security.Cryptography.Pkcs,CERTIFICATE_USAGE | CODE_SIGNING | JWT_OR_TOKEN_SIGNING | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,67.5,Certificate dependency | Code-signing dependency | JWT dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\AkeylessSecretLeaseService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,1,AkeylessSecretLeaseService,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,42.0,KMS/HSM | KMS/HSM dependency | RSA
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ArtifactSigningService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,System.Security.Cryptography.Pkcs | System.Security.Cryptography.X509Certificates,CERTIFICATE_USAGE | CODE_SIGNING,0,0,,,high,68.0,Artifact/code signing | Certificate dependency | Code-signing dependency | X.509/Keystore
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\AzureManagedHsmSignatureService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,4,Azure.Security.KeyVault.Administration | Azure.Security.KeyVault.Cryptography | Azure.Security.KeyVault.Keys | AzureManagedHsmSignatureService,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,80.5,Certificate dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ClaimReviewService.cs,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,Sample.DotNetApi.Models | System.Data.SqlClient | System.Net.Http.Json,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\CustomerService.cs,pqc,backend,medium,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,3,Microsoft.Data.SqlClient | SampleCompany.Models | System.Data,,0,0,,,medium,8.5,KMS/HSM
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ProtegrityBatchProtectionService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,Protegrity.ApplicationProtector | ProtegrityBatchProtectionService,CODE_SIGNING | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,80.0,Code-signing dependency | KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ThalesCadpRsaEncryptionService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,9,CADP.NetCore.Crypto | CADP.NetCore.KeyManagement | CADP.NetCore.Sessions | System | System.IO | System.Linq | System.Security.Cryptography | System.Text | ThalesCadpRsaEncryptionService,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,90.0,Certificate dependency | KMS/HSM | KMS/HSM dependency | RSA | X.509/Keystore
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ThalesCadpSessionService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,2,CipherTrust.CADP.NETCore | ThalesCadpSessionService,KMS_OR_HSM_ASYMMETRIC,0,0,,,high,24.0,KMS/HSM | KMS/HSM dependency
E:\codex\work\migration\sample_code\backend\dotnet-api\Services\ThalesProtectGatewayService.cs,pqc,backend,high,True,review_pqc_dependency_and_kms,False,,True,review_pqc_dependency_and_kms,5,/protectInput | /protectInputAndCallLLM | /revealInput | Azure.Security.KeyVault.Cryptography | ThalesProtectGatewayService,CERTIFICATE_USAGE | KMS_OR_HSM_ASYMMETRIC,0,0,,,high,89.5,Certificate dependency | KMS/HSM | KMS/HSM dependency
